CODESC;TIPOESC;NOMES;SUBPREF;DISTRITO;CODINEP;CD_CIE;NOME_ANT;REDE;NOMES_COMPLETO;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;DESC_REDE
308986;CR.P.CONV;TIA LILA;CIDADE ADEMAR;CIDADE ADEMAR;35005067,0;;;CON;CR.P.CONV TIA LILA;CIDADE ADEMAR;16;CIDADE ADEMAR;Parceira
308987;CR.P.CONV;CANTINHO DA FABIANA;CIDADE ADEMAR;CIDADE ADEMAR;35005073,0;;;CON;CR.P.CONV CANTINHO DA FABIANA;CIDADE ADEMAR;16;CIDADE ADEMAR;Parceira
308988;CR.P.CONV;CANTINHO COLORIDO I;CIDADE ADEMAR;PEDREIRA;35005068,0;;VAGALUMES;CON;CR.P.CONV CANTINHO COLORIDO I;PEDREIRA;16;CIDADE ADEMAR;Parceira
308989;CR.P.CONV;JORGINHO;JABAQUARA;JABAQUARA;35005069,0;;;CON;CR.P.CONV JORGINHO;JABAQUARA;15;JABAQUARA;Parceira
308991;CR.P.CONV;SANTA LUZIA;CAPELA DO SOCORRO;GRAJAU;35005099,0;;;CON;CR.P.CONV SANTA LUZIA;GRAJAU;19;CAPELA DO SOCORRO;Parceira
308992;CR.P.CONV;MALVINA FENUCHI;CAPELA DO SOCORRO;GRAJAU;35005103,0;;MIGUEL ANTONIO;CON;CR.P.CONV MALVINA FENUCHI;GRAJAU;19;CAPELA DO SOCORRO;Parceira
308993;CR.P.CONV;FUTURO BRILHANTE;VILA MARIA/VILA GUILHERME;VILA MARIA;35005224,0;;;CON;CR.P.CONV FUTURO BRILHANTE;VILA MARIA;7;VILA MARIA-VILA GUILHERME;Parceira
308994;CR.P.CONV;ESPACO CRIANCA;CAMPO LIMPO;VILA ANDRADE;35005274,0;;SABER VIVER IV;CON;CR.P.CONV ESPACO CRIANCA;VILA ANDRADE;17;CAMPO LIMPO;Parceira
308999;CR.P.CONV;OLHAR INOCENTE;ITAQUERA;ITAQUERA;35005086,0;;;CON;CR.P.CONV OLHAR INOCENTE;ITAQUERA;27;ITAQUERA;Parceira
309005;CR.P.CONV;TRANSFORMANDO VIDAS;IPIRANGA;IPIRANGA;35004867,0;;;CON;CR.P.CONV TRANSFORMANDO VIDAS;IPIRANGA;13;IPIRANGA;Parceira
309007;CR.P.CONV;ELOHIM ADONAI III;VILA PRUDENTE;SAO LUCAS;35005237,0;;ELOHIM AGONAI III;CON;CR.P.CONV ELOHIM ADONAI III;SAO LUCAS;29;VILA PRUDENTE;Parceira
309008;CR.P.CONV;ELOHIM ADONAI IV;VILA PRUDENTE;VILA PRUDENTE;35005238,0;;;CON;CR.P.CONV ELOHIM ADONAI IV;VILA PRUDENTE;29;VILA PRUDENTE;Parceira
309013;CR.P.CONV;OIKOS II;FREGUESIA/BRASILANDIA;BRASILANDIA;35005042,0;;;CON;CR.P.CONV OIKOS II;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
309014;CR.P.CONV;ALEGRIA DE CRIANCA;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35005043,0;;;CON;CR.P.CONV ALEGRIA DE CRIANCA;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Parceira
309017;CR.P.CONV;JARDIM LIDERANCA;ITAQUERA;ITAQUERA;35005045,0;;;CON;CR.P.CONV JARDIM LIDERANCA;ITAQUERA;27;ITAQUERA;Parceira
309018;CR.P.CONV;CONCORDIA II;CIDADE TIRADENTES;CIDADE TIRADENTES;35005049,0;;FLOR DO CAMPO;CON;CR.P.CONV CONCORDIA II;CIDADE TIRADENTES;31;CIDADE TIRADENTES;Parceira
309022;CR.P.CONV;CANTINHO DO SABER;ITAQUERA;PARQUE DO CARMO;35005098,0;;JARDIM NOSSA SENHORA DO CARMO;CON;CR.P.CONV CANTINHO DO SABER;PARQUE DO CARMO;27;ITAQUERA;Parceira
309023;CR.P.CONV;NELSON MANDELA;CAPELA DO SOCORRO;GRAJAU;35005106,0;;;CON;CR.P.CONV NELSON MANDELA;GRAJAU;19;CAPELA DO SOCORRO;Parceira
309024;CR.P.CONV;CAROLINA MARIA DE JESUS;CAPELA DO SOCORRO;CIDADE DUTRA;35005105,0;;;CON;CR.P.CONV CAROLINA MARIA DE JESUS;CIDADE DUTRA;19;CAPELA DO SOCORRO;Parceira
309025;CR.P.CONV;JOANA ALVES;SAO MATEUS;IGUATEMI;35005311,0;;;CON;CR.P.CONV JOANA ALVES;IGUATEMI;30;SAO MATEUS;Parceira
309027;CR.P.CONV;VO ZEFA;CAMPO LIMPO;CAMPO LIMPO;35005119,0;;;CON;CR.P.CONV VO ZEFA;CAMPO LIMPO;17;CAMPO LIMPO;Parceira
309029;CR.P.CONV;BELEM;VILA PRUDENTE;VILA PRUDENTE;35005181,0;;ANTONIO CARLOS DIGILIO;CON;CR.P.CONV BELEM;VILA PRUDENTE;29;VILA PRUDENTE;Parceira
309030;CR.P.CONV;CAMPANELA;ITAQUERA;ITAQUERA;35005087,0;;;CON;CR.P.CONV CAMPANELA;ITAQUERA;27;ITAQUERA;Parceira
309033;CR.P.CONV;JEOVA RAFA;ITAQUERA;ITAQUERA;35005163,0;;;CON;CR.P.CONV JEOVA RAFA;ITAQUERA;27;ITAQUERA;Parceira
309034;CR.P.CONV;ENCANTO E HARMONIA;SAO MIGUEL;JARDIM HELENA;35005180,0;;PEQUENA VALENTINA;CON;CR.P.CONV ENCANTO E HARMONIA;JARDIM HELENA;23;SAO MIGUEL;Parceira
309035;CR.P.CONV;OLGA LOPES MALAGRINE;SE;BOM RETIRO;35005189,0;;VOVO MARIA;CON;CR.P.CONV OLGA LOPES MALAGRINE;BOM RETIRO;9;SE;Parceira
309036;CR.P.CONV;DOCE INFANCIA;SAO MIGUEL;JARDIM HELENA;35005187,0;;;CON;CR.P.CONV DOCE INFANCIA;JARDIM HELENA;23;SAO MIGUEL;Parceira
309040;CR.P.CONV;DIAMANTES;MOOCA;BRAS;35005257,0;;;CON;CR.P.CONV DIAMANTES;BRAS;25;MOOCA;Parceira
309041;CR.P.CONV;ARCO-IRIS;CIDADE ADEMAR;CIDADE ADEMAR;35005234,0;;;CON;CR.P.CONV ARCO-IRIS;CIDADE ADEMAR;16;CIDADE ADEMAR;Parceira
309043;CR.P.CONV;TATIANA BELINKY;CAPELA DO SOCORRO;GRAJAU;35005243,0;;;CON;CR.P.CONV TATIANA BELINKY;GRAJAU;19;CAPELA DO SOCORRO;Parceira
309045;CR.P.CONV;SABERES INFANTIS;MOOCA;BELEM;35005317,0;;GEPETTO;CON;CR.P.CONV SABERES INFANTIS;BELEM;25;MOOCA;Parceira
309046;CR.P.CONV;SHAMMAH KIDS;ERMELINO MATARAZZO;ERMELINO MATARAZZO;35005316,0;;;CON;CR.P.CONV SHAMMAH KIDS;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Parceira
309047;CR.P.CONV;CARLOS JACOB;PENHA;ARTUR ALVIM;35005318,0;;;CON;CR.P.CONV CARLOS JACOB;ARTUR ALVIM;21;PENHA;Parceira
309048;CR.P.CONV;ELVIRA MARTINS;CAPELA DO SOCORRO;GRAJAU;35005273,0;;MARIA VITORIA;CON;CR.P.CONV ELVIRA MARTINS;GRAJAU;19;CAPELA DO SOCORRO;Parceira
309050;CR.P.CONV;JARDIM DA VOVO ANA;VILA PRUDENTE;VILA PRUDENTE;35005268,0;;JARDIM VOVO ANA;CON;CR.P.CONV JARDIM DA VOVO ANA;VILA PRUDENTE;29;VILA PRUDENTE;Parceira
